S.no.,user_id,tweet_id,username,location,following,followers,twt_created_at,total_tweets,retweet_count,text,hashtags,mentions,textblob_polarity,nltk_compound,avg_sentiment,textblob_sentiment,nltk_sentiment,priority
197,552,552,devilpathan,"Mumbai, india",169,267,2022-11-08 13:49:52+00:00,468,0,thursday november guy come opening water vaal came today well came always people mumbra suffer unprofessionalism,[],"[{'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [0, 9]}, {'screen_name': 'CMOMaharashtra', 'name': 'CMO Maharashtra', 'id': 2597666894, 'id_str': '2597666894', 'indices': [10, 25]}, {'screen_name': 'Dev_Fadnavis', 'name': 'Devendra Fadnavis', 'id': 137780376, 'id_str': '137780376', 'indices': [26, 39]}, {'screen_name': 'TMCaTweetAway', 'name': 'Thane Municipal Corporation - ‡§†‡§æ‡§£‡•á ‡§Æ‡§π‡§æ‡§®‡§ó‡§∞‡§™‡§æ‡§≤‡§ø‡§ï‡§æ', 'id': 730504518, 'id_str': '730504518', 'indices': [40, 54]}, {'screen_name': 'midc_india', 'name': 'MIDC India', 'id': 3398451371, 'id_str': '3398451371', 'indices': [55, 66]}]",0,-0.34,-1,0,-1,1
201,558,558,lcsmindia,"‡§Æ‡•Å‡§Ç‡§¨‡§à, ‡§≠‡§æ‡§∞‡§§",67,32,2022-11-08 13:44:04+00:00,2102,0,single flat gst single flat income tax income would mile ensure people waste time trying dodge tax state right income,[],"[{'screen_name': 'KirenRijiju', 'name': 'Kiren Rijiju', 'id': 3241214268, 'id_str': '3241214268', 'indices': [192, 204]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [205, 214]}, {'screen_name': 'FinMinIndia', 'name': 'Ministry of Finance', 'id': 2613904818, 'id_str': '2613904818', 'indices': [215, 227]}]",-0.0178571,-0.0516,-1,-1,-1,0
203,560,560,lcsmindia,"‡§Æ‡•Å‡§Ç‡§¨‡§à, ‡§≠‡§æ‡§∞‡§§",67,32,2022-11-08 13:41:59+00:00,2102,0,one single law rule accross india every issue non compliance litigation drastically state law discussed state standardized accross state,[],"[{'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [127, 136]}, {'screen_name': 'KirenRijiju', 'name': 'Kiren Rijiju', 'id': 3241214268, 'id_str': '3241214268', 'indices': [137, 149]}]",-0.0714286,-0.2023,-1,-1,-1,0
205,562,562,RiteshKumar0590,,28,24,2022-11-08 13:37:35+00:00,945,0,become sho supporting criminal black mailer anything otherwise behind jail,[],"[{'screen_name': 'ParasNa88795425', 'name': 'Paras Nath Verma', 'id': 1330556435772502023, 'id_str': '1330556435772502023', 'indices': [0, 16]}, {'screen_name': 'DelhiPolice', 'name': 'Delhi Police', 'id': 1850705408, 'id_str': '1850705408', 'indices': [81, 93]}, {'screen_name': 'SanjaySingh_IPS', 'name': 'Sanjay Singh', 'id': 1306577497673232384, 'id_str': '1306577497673232384', 'indices': [150, 166]}, {'screen_name': 'sumannalwa', 'name': 'Suman Nalwa', 'id': 48658480, 'id_str': '48658480', 'indices': [167, 178]}, {'screen_name': 'IPSMadhurVerma', 'name': 'Madhur Verma', 'id': 90151312, 'id_str': '90151312', 'indices': [179, 194]}, {'screen_name': 'dcp_southwest', 'name': 'DCP South West District', 'id': 973897810406883329, 'id_str': '973897810406883329', 'indices': [195, 209]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [210, 223]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [224, 233]}, {'screen_name': 'indiatvnews', 'name': 'India TV', 'id': 34245009, 'id_str': '34245009', 'indices': [234, 246]}, {'screen_name': 'Swamy39', 'name': 'Subramanian Swamy', 'id': 60937837, 'id_str': '60937837', 'indices': [247, 255]}, {'screen_name': 'TOIDelhi', 'name': 'TOI Delhi', 'id': 30859883, 'id_str': '30859883', 'indices': [256, 265]}]",-0.1633333,-0.128,-1,-1,-1,1
207,564,564,DilipDa60259821,Katigorah Assam ,2739,2745,2022-11-08 13:30:30+00:00,102312,0,world going effect disruptive covid pandemic symbol logo representation hope matter adverse circumstance lotus still bloom said,"[{'text': 'PMUnveilsG20Logo', 'indices': [28, 45]}, {'text': 'PMModi', 'indices': [259, 266]}]","[{'screen_name': 'himantabiswa', 'name': 'Himanta Biswa Sarma', 'id': 131188226, 'id_str': '131188226', 'indices': [0, 13]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [14, 27]}]",0,-0.2023,-1,0,-1,0
211,569,569,vishshwe,"Pune, India",29,1,2022-11-08 13:28:28+00:00,893,0,complaint parking foothpaths still action taken whr traffic department location kelkar road narayan peth opp dsk chintamani,[],"[{'screen_name': 'AjitPawarSpeaks', 'name': 'Ajit Pawar', 'id': 2376754662, 'id_str': '2376754662', 'indices': [0, 16]}, {'screen_name': 'PUMA', 'name': 'PUMA.eth', 'id': 50883209, 'id_str': '50883209', 'indices': [17, 22]}, {'screen_name': 'PuneCityTraffic', 'name': 'Pune City Traffic Police', 'id': 1029723840480464896, 'id_str': '1029723840480464896', 'indices': [23, 39]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [40, 49]}, {'screen_name': 'DGPMaharashtra', 'name': '‡§Æ‡§π‡§æ‡§∞‡§æ‡§∑‡•ç‡§ü‡•ç‡§∞ ‡§™‡•ã‡§≤‡•Ä‡§∏ - Maharashtra Police', 'id': 841645298577424384, 'id_str': '841645298577424384', 'indices': [50, 65]}, {'screen_name': 'mataonline', 'name': 'Maharashtra Times', 'id': 171880832, 'id_str': '171880832', 'indices': [66, 77]}]",-0.1,-0.296,-1,-1,-1,1
225,589,589,vishshwe,"Pune, India",29,1,2022-11-08 13:07:10+00:00,893,0,great mean first make bad road glfor repairing bad road give money,[],"[{'screen_name': 'punekarnews', 'name': 'Punekar News', 'id': 3366384699, 'id_str': '3366384699', 'indices': [0, 12]}, {'screen_name': 'PMCPune', 'name': 'PMC Care', 'id': 3197062501, 'id_str': '3197062501', 'indices': [13, 21]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [111, 120]}]",-0.1325,-0.4404,-1,-1,-1,0
233,599,599,ssr99,,312,887,2022-11-08 12:57:27+00:00,84885,0,neither neta public make pollution election issue take seriously,[],"[{'screen_name': 'pnvijay', 'name': 'P.N.VIJAY', 'id': 83339039, 'id_str': '83339039', 'indices': [0, 8]}, {'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [17, 32]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [37, 50]}]",-0.1666667,-0.1779,-1,-1,-1,0
234,601,601,vinodkrGupta50,,370,2,2022-11-08 12:57:01+00:00,1108,0,crore public money invested project clean toilet foul smelly unhygienic poisonous gas causing air pollution,[],"[{'screen_name': 'myogiadityanath', 'name': 'Yogi Adityanath', 'id': 3437532637, 'id_str': '3437532637', 'indices': [0, 16]}, {'screen_name': 'NandiGuptaBJP', 'name': ""Nand Gopal Gupta 'Nandi'"", 'id': 838244728604852224, 'id_str': '838244728604852224', 'indices': [17, 31]}, {'screen_name': 'ChiefSecyUP', 'name': 'D.S. Mishra, Chief Secretary, GoUP', 'id': 2587265450, 'id_str': '2587265450', 'indices': [32, 44]}, {'screen_name': 'Secretary_MoHUA', 'name': 'Manoj Joshi', 'id': 745589822220308480, 'id_str': '745589822220308480', 'indices': [45, 61]}, {'screen_name': 'CeoNoida', 'name': 'CEO, NOIDA Authority #IndiaFightsCorona', 'id': 1151347817627078657, 'id_str': '1151347817627078657', 'indices': [62, 71]}, {'screen_name': 'CPCB_OFFICIAL', 'name': 'Central Pollution Control Board', 'id': 1056904937932709888, 'id_str': '1056904937932709888', 'indices': [72, 86]}, {'screen_name': 'rouppcbgbn', 'name': 'RO UPPCB NOIDA, GBN', 'id': 1402511981010030595, 'id_str': '1402511981010030595', 'indices': [87, 98]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [99, 108]}]",0.11111111,-0.25,-1,1,-1,1
237,608,608,AnantacharanRo5,,60,83,2022-11-08 12:43:13+00:00,736,0,sorry say toilet cleaning visakhapatnam station toilet condition poor request available tti rpf train till passenger standing door,[],"[{'screen_name': 'GMNWRailway', 'name': 'GM NWRailway', 'id': 3278179166, 'id_str': '3278179166', 'indices': [0, 12]}, {'screen_name': 'GMSERAILWAY', 'name': 'GM/SER', 'id': 3279540781, 'id_str': '3279540781', 'indices': [13, 25]}, {'screen_name': 'RailMinIndia', 'name': 'Ministry of Railways', 'id': 2602959463, 'id_str': '2602959463', 'indices': [26, 39]}, {'screen_name': 'RailwaySeva', 'name': 'RailwaySeva', 'id': 945918632642494464, 'id_str': '945918632642494464', 'indices': [40, 52]}, {'screen_name': 'WesternRly', 'name': 'Western Railway', 'id': 3188629370, 'id_str': '3188629370', 'indices': [54, 65]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [66, 75]}]",-0.1133333,-0.5267,-1,-1,-1,1
241,614,614,Dipesh__Indian,INDIA,58,250,2022-11-08 12:35:24+00:00,20391,1,possible repeat bjp big loss loss also effect,[],"[{'screen_name': 'tv9gujarati', 'name': 'Tv9 Gujarati', 'id': 346406417, 'id_str': '346406417', 'indices': [0, 12]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [31, 44]}, {'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': 1447949844, 'id_str': '1447949844', 'indices': [51, 60]}, {'screen_name': 'CRPaatil', 'name': 'C R Paatil', 'id': 305603067, 'id_str': '305603067', 'indices': [168, 177]}, {'screen_name': 'BJP4Gujarat', 'name': 'BJP Gujarat', 'id': 385909720, 'id_str': '385909720', 'indices': [179, 191]}]",0,-0.5574,-1,0,-1,0
243,616,616,Priyanshu_UP70,,22,0,2022-11-08 12:33:07+00:00,12,1,student college kishori lal mahavidya provided late notice fill back form bcom year online portal showing registration closed closing date,"[{'text': 'fakeeducation', 'indices': [266, 280]}]","[{'screen_name': 'OfficialPrsu', 'name': 'PRSU PRAYAGRAJ OFFICIAL', 'id': 1479146649360351233, 'id_str': '1479146649360351233', 'indices': [18, 31]}, {'screen_name': 'CMOfficeUP', 'name': 'CM Office, GoUP', 'id': 2587240482, 'id_str': '2587240482', 'indices': [216, 227]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [228, 237]}, {'screen_name': 'EduMinOfIndia', 'name': 'Ministry of Education', 'id': 2574232910, 'id_str': '2574232910', 'indices': [238, 252]}, {'screen_name': 'mygovindia', 'name': 'MyGovIndia', 'id': 2686834802, 'id_str': '2686834802', 'indices': [253, 264]}]",-0.1333333,0,-1,-1,0,1
246,619,619,King1965Bell,,127,23,2022-11-08 12:30:19+00:00,2297,0,hypocrisy thy name son wiping kumkum forehead entering musilims residing street moron preach secularism,"[{'text': 'Kamalnath', 'indices': [132, 142]}]","[{'screen_name': 'OfficeOfKNath', 'name': 'Kamal Nath', 'id': 724205574565466112, 'id_str': '724205574565466112', 'indices': [0, 14]}, {'screen_name': 'srinivasiyc', 'name': 'Srinivas BV', 'id': 576533046, 'id_str': '576533046', 'indices': [15, 27]}, {'screen_name': 'rssurjewala', 'name': 'Randeep Singh Surjewala', 'id': 3066787711, 'id_str': '3066787711', 'indices': [28, 40]}, {'screen_name': 'RahulGandhi', 'name': 'Rahul Gandhi', 'id': 3171712086, 'id_str': '3171712086', 'indices': [41, 53]}, {'screen_name': 'BJP4India', 'name': 'BJP', 'id': 207809313, 'id_str': '207809313', 'indices': [54, 64]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [65, 78]}, {'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': 1447949844, 'id_str': '1447949844', 'indices': [79, 88]}, {'screen_name': 'JPNadda', 'name': 'Jagat Prakash Nadda', 'id': 2990611686, 'id_str': '2990611686', 'indices': [89, 97]}, {'screen_name': 'INCIndia', 'name': 'Congress', 'id': 1153045459, 'id_str': '1153045459', 'indices': [121, 130]}, {'screen_name': 'NakulKNath', 'name': 'Nakul Kamal Nath', 'id': 1081112875492618240, 'id_str': '1081112875492618240', 'indices': [150, 161]}]",-0.8,-0.4939,-1,-1,-1,0
252,626,626,abhamitjoshi,"alwar,rajasthan",3,1,2022-11-08 12:23:27+00:00,101,0,sir koi fayda nahi hai let unite fight case ola court,[],"[{'screen_name': 'shekarbchandra', 'name': 'B C S', 'id': 74187500, 'id_str': '74187500', 'indices': [0, 15]}, {'screen_name': 'bhash', 'name': 'Bhavish Aggarwal', 'id': 16489912, 'id_str': '16489912', 'indices': [16, 22]}, {'screen_name': 'OlaElectric', 'name': 'Ola Electric', 'id': 1051810595954147329, 'id_str': '1051810595954147329', 'indices': [23, 35]}, {'screen_name': 'consumerforum_', 'name': 'Consumer Forum India', 'id': 2871326881, 'id_str': '2871326881', 'indices': [36, 51]}, {'screen_name': 'karthikbr007', 'name': 'Karthik BR', 'id': 77820867, 'id_str': '77820867', 'indices': [52, 65]}, {'screen_name': 'consumerforum_', 'name': 'Consumer Forum India', 'id': 2871326881, 'id_str': '2871326881', 'indices': [137, 152]}, {'screen_name': 'bhash', 'name': 'Bhavish Aggarwal', 'id': 16489912, 'id_str': '16489912', 'indices': [153, 159]}, {'screen_name': 'OlaElectric', 'name': 'Ola Electric', 'id': 1051810595954147329, 'id_str': '1051810595954147329', 'indices': [160, 172]}, {'screen_name': 'nitin_gadkari', 'name': 'Nitin Gadkari', 'id': 97217966, 'id_str': '97217966', 'indices': [173, 187]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [188, 197]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [198, 211]}]",0,-0.3818,-1,0,-1,0
254,630,630,Avdhesh38465464,,31,17,2022-11-08 12:20:58+00:00,311,0,day prerepublic day parade camp central zone november,[],"[{'screen_name': 'YASMinistry', 'name': 'YAS Ministry', 'id': 2364049800, 'id_str': '2364049800', 'indices': [96, 108]}, {'screen_name': '_NSSIndia', 'name': 'NSS India', 'id': 723158500340158468, 'id_str': '723158500340158468', 'indices': [109, 119]}, {'screen_name': 'NSSRDBhopal', 'name': 'NSS Regional Dte. MP & CG', 'id': 1166262798105505793, 'id_str': '1166262798105505793', 'indices': [120, 132]}, {'screen_name': 'ianuragthakur', 'name': 'Anurag Thakur', 'id': 381949397, 'id_str': '381949397', 'indices': [133, 147]}, {'screen_name': 'chakrawalalok', 'name': 'Prof. Alok Kumar Chakrawal', 'id': 2472407460, 'id_str': '2472407460', 'indices': [148, 162]}, {'screen_name': 'askabir_', 'name': 'A S Kabir ‡§ï‡§¨‡•Ä‡§∞', 'id': 250015260, 'id_str': '250015260', 'indices': [163, 172]}, {'screen_name': 'dpradhanbjp', 'name': 'Dharmendra Pradhan', 'id': 1897514666, 'id_str': '1897514666', 'indices': [173, 185]}, {'screen_name': 'GovernorCG', 'name': 'Governor Chhattisgarh', 'id': 1039751289444425728, 'id_str': '1039751289444425728', 'indices': [186, 197]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [198, 211]}, {'screen_name': 'pankajsinghips', 'name': 'Pankaj Kumar Singh', 'id': 2939894432, 'id_str': '2939894432', 'indices': [212, 227]}]",-0.125,0,-1,-1,0,0
255,633,633,AnuragS55981513,,39,21,2022-11-08 12:14:16+00:00,91,1,day prerepublic day parade camp november,[],"[{'screen_name': 'YASMinistry', 'name': 'YAS Ministry', 'id': 2364049800, 'id_str': '2364049800', 'indices': [88, 100]}, {'screen_name': '_NSSIndia', 'name': 'NSS India', 'id': 723158500340158468, 'id_str': '723158500340158468', 'indices': [101, 111]}, {'screen_name': 'NSSRDBhopal', 'name': 'NSS Regional Dte. MP & CG', 'id': 1166262798105505793, 'id_str': '1166262798105505793', 'indices': [112, 124]}, {'screen_name': 'ianuragthakur', 'name': 'Anurag Thakur', 'id': 381949397, 'id_str': '381949397', 'indices': [125, 139]}, {'screen_name': 'chakrawalalok', 'name': 'Prof. Alok Kumar Chakrawal', 'id': 2472407460, 'id_str': '2472407460', 'indices': [140, 154]}, {'screen_name': 'askabir_', 'name': 'A S Kabir ‡§ï‡§¨‡•Ä‡§∞', 'id': 250015260, 'id_str': '250015260', 'indices': [155, 164]}, {'screen_name': 'dpradhanbjp', 'name': 'Dharmendra Pradhan', 'id': 1897514666, 'id_str': '1897514666', 'indices': [165, 177]}, {'screen_name': 'GovernorCG', 'name': 'Governor Chhattisgarh', 'id': 1039751289444425728, 'id_str': '1039751289444425728', 'indices': [178, 189]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [190, 203]}]",-0.25,0,-1,-1,0,0
256,634,634,rohansmitra,India,2275,6273,2022-11-08 12:12:29+00:00,39720,4,year ago today prime minister india hurt country arbitrary decision demonetisation decision political identify political funding opponent cull target people would indulge,"[{'text': 'DEMONetisation', 'indices': [260, 275]}]","[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [43, 56]}]",-0.0333333,-0.5267,-1,-1,-1,0
263,642,642,pratik_kank,,217,69,2022-11-08 12:03:13+00:00,2460,0,tax payer suffering due long delay issuance gst refund matter presented commr forwarded system month resolution end well much time wait,[],"[{'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [236, 245]}]",0.00833333,-0.4939,-1,1,-1,1
265,645,645,vidyadharkamble,Mumbai,33,6,2022-11-08 11:59:47+00:00,20,1,delhi airport bad rush worse railway station hope gmr managing need intervene immediately people cannot wait que hour security check scanner installed every zone,[],"[{'screen_name': 'DelhiAirport', 'name': 'Delhi Airport', 'id': 376106733, 'id_str': '376106733', 'indices': [0, 13]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [14, 27]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [28, 37]}, {'screen_name': 'AamAadmiParty', 'name': 'AAP', 'id': 711694309, 'id_str': '711694309', 'indices': [38, 52]}]",-0.55,-0.3182,-1,-1,-1,1
271,653,653,KdipSahu,"Jhargram, India",53,17,2022-11-08 11:48:02+00:00,345,0,today black day economy disaster decision ever taken much black money return nation want know sir day running year demonetisation,"[{'text': 'Demonitisation', 'indices': [90, 105]}, {'text': 'DeMonitisationDisaster', 'indices': [223, 246]}]","[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [73, 86]}]",-0.1666667,-0.5859,-1,-1,-1,0
287,672,672,Amit76588402,India,67,57,2022-11-08 11:32:37+00:00,9218,0,sir anti india anti govt people already start preparing defame bharat host next year delhi pragati maidan dwarka upgrade surveillance police air pollution complete delhi construction project smooth passage,[],"[{'screen_name': 'ZeeNews', 'name': 'Zee News', 'id': 461841349, 'id_str': '461841349', 'indices': [0, 8]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [9, 22]}]",0.16666667,-0.5574,-1,1,-1,1
289,674,674,ravichauhan1410,India,98,183,2022-11-08 11:32:21+00:00,2291,6,wrath useless maintenance service last making resident suffer care neither useless builder useless maintenance residentia society,[],"[{'screen_name': 'ADVBuyers', 'name': 'Sumil Jalota (4 better GNW)', 'id': 3060949505, 'id_str': '3060949505', 'indices': [0, 10]}, {'screen_name': 'SchindlerIND', 'name': 'Schindler India', 'id': 1242024264150044672, 'id_str': '1242024264150044672', 'indices': [11, 24]}, {'screen_name': 'schindlerlifts', 'name': 'Schindler lifts', 'id': 853502724, 'id_str': '853502724', 'indices': [25, 40]}, {'screen_name': 'schindlergroup', 'name': 'Schindler', 'id': 397965039, 'id_str': '397965039', 'indices': [41, 56]}, {'screen_name': 'LaResidentiaGNW', 'name': 'La Resident Greater Noida West', 'id': 576138068, 'id_str': '576138068', 'indices': [57, 73]}, {'screen_name': 'AJABBHATI1', 'name': 'AJAB SINGH', 'id': 1287032366708342785, 'id_str': '1287032366708342785', 'indices': [74, 85]}, {'screen_name': 'NaveenBhati_', 'name': 'Naveen Kumar Bhati', 'id': 328951711, 'id_str': '328951711', 'indices': [86, 99]}, {'screen_name': 'siddharth2596', 'name': 'siddharth agarwal', 'id': 888998428943855616, 'id_str': '888998428943855616', 'indices': [100, 114]}, {'screen_name': 'PravendraNBT', 'name': 'Pravendra Singh Sikarwar', 'id': 1449806921028935682, 'id_str': '1449806921028935682', 'indices': [115, 128]}, {'screen_name': 'PANKAJPARASHAR_', 'name': 'Pankaj Parashar', 'id': 433477467, 'id_str': '433477467', 'indices': [129, 145]}, {'screen_name': 'shalabhTOI', 'name': 'Shalabh', 'id': 3581578573, 'id_str': '3581578573', 'indices': [146, 157]}, {'screen_name': 'vinodrajputs', 'name': 'Vinod Rajput', 'id': 2834102167, 'id_str': '2834102167', 'indices': [158, 171]}, {'screen_name': 'nefowaoffice', 'name': 'NEFOWA', 'id': 4672922204, 'id_str': '4672922204', 'indices': [172, 185]}, {'screen_name': 'MattWallace888', 'name': 'Matt Wallace', 'id': 805532293951606785, 'id_str': '805532293951606785', 'indices': [186, 201]}, {'screen_name': 'OfficialGNIDA', 'name': 'Greater Noida Industrial Development Authority', 'id': 1168459494432501760, 'id_str': '1168459494432501760', 'indices': [328, 342]}, {'screen_name': 'dmgbnagar', 'name': 'DM G.B. Nagar', 'id': 874516907256197120, 'id_str': '874516907256197120', 'indices': [343, 353]}, {'screen_name': 'myogiadityanath', 'name': 'Yogi Adityanath', 'id': 3437532637, 'id_str': '3437532637', 'indices': [354, 370]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [371, 384]}, {'screen_name': 'hrw', 'name': 'Human Rights Watch', 'id': 14700316, 'id_str': '14700316', 'indices': [385, 389]}, {'screen_name': 'alok24', 'name': 'Alok singh', 'id': 44302386, 'id_str': '44302386', 'indices': [390, 397]}, {'screen_name': 'bisrakh', 'name': 'Sho Bisrakh', 'id': 988126556915683328, 'id_str': '988126556915683328', 'indices': [398, 406]}, {'screen_name': 'rituias2003', 'name': 'Ritu maheshwari', 'id': 782616231236866048, 'id_str': '782616231236866048', 'indices': [407, 419]}]",-0.375,-0.8271,-1,-1,-1,1
300,694,694,IamRajonline,"Noida, India",1946,1825,2022-11-08 11:04:53+00:00,251101,3,pathetic condition basement devika gold homz bisrakh thing barely changed even complaint maintenance dept builder bother anything condition similar building rooftop well common area,[],"[{'screen_name': 'amanyadavind1', 'name': 'aman yadav', 'id': 1551438918490685440, 'id_str': '1551438918490685440', 'indices': [0, 14]}, {'screen_name': 'GNoida', 'name': 'Greater Noida', 'id': 911810906, 'id_str': '911810906', 'indices': [15, 22]}, {'screen_name': 'OfficialGNIDA', 'name': 'Greater Noida Industrial Development Authority', 'id': 1168459494432501760, 'id_str': '1168459494432501760', 'indices': [23, 37]}, {'screen_name': 'noidapolice', 'name': 'POLICE COMMISSIONERATE GAUTAM BUDDH NAGAR', 'id': 1461970477, 'id_str': '1461970477', 'indices': [38, 50]}, {'screen_name': 'NareshN61712382', 'name': '‡§®‡§∞‡•á‡§∂ ‡§®‡•å‡§ü‡§ø‡§Ø‡§æ‡§≤', 'id': 1194481516497129473, 'id_str': '1194481516497129473', 'indices': [51, 67]}, {'screen_name': 'DevikaSocial', 'name': 'Devika Social Welfare Society', 'id': 1294878969112621056, 'id_str': '1294878969112621056', 'indices': [68, 81]}, {'screen_name': 'CeoNoida', 'name': 'CEO, NOIDA Authority #IndiaFightsCorona', 'id': 1151347817627078657, 'id_str': '1151347817627078657', 'indices': [82, 91]}, {'screen_name': 'myogiadityanath', 'name': 'Yogi Adityanath', 'id': 3437532637, 'id_str': '3437532637', 'indices': [92, 108]}, {'screen_name': 'DyCMGoUP', 'name': 'Dy Chief Minister GoUP', 'id': 947346604691832832, 'id_str': '947346604691832832', 'indices': [109, 118]}, {'screen_name': 'CMOfficeUP', 'name': 'CM Office, GoUP', 'id': 2587240482, 'id_str': '2587240482', 'indices': [119, 130]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [131, 140]}]",-0.31,-0.7128,-1,-1,-1,1
303,697,697,ayu_agarwal94,"New Delhi, India",4967,840,2022-11-08 10:54:43+00:00,8243,0,let take opportunity lay indian position conveyed president putin september era war eam joint presser russian,"[{'text': 'Samarkand', 'indices': [114, 124]}]","[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [69, 82]}, {'screen_name': 'DrSJaishankar', 'name': 'Dr. S. Jaishankar', 'id': 859363899291742210, 'id_str': '859363899291742210', 'indices': [175, 189]}]",0,-0.2732,-1,0,-1,0
306,703,703,anshusunil0502,"Sector 143B, Noida",199,19,2022-11-08 10:44:10+00:00,408,0,look number vehicle parked road kamla nagar market cause lot inconvenience people paying additional tax use public road parking,[],"[{'screen_name': 'dtptraffic', 'name': 'Delhi Traffic Police', 'id': 143766231, 'id_str': '143766231', 'indices': [0, 11]}, {'screen_name': 'DelhiPwd', 'name': 'PWD Delhi', 'id': 763629353968234496, 'id_str': '763629353968234496', 'indices': [12, 21]}, {'screen_name': 'MCD_Delhi', 'name': 'Municipal Corporation of Delhi', 'id': 1008443214758461440, 'id_str': '1008443214758461440', 'indices': [22, 32]}, {'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [225, 240]}, {'screen_name': 'msisodia', 'name': 'Manish Sisodia', 'id': 30417501, 'id_str': '30417501', 'indices': [241, 250]}, {'screen_name': 'GADL', 'name': 'GADL', 'id': 132239155, 'id_str': '132239155', 'indices': [251, 256]}]",0,-0.296,-1,0,-1,1
